headline,web_url,snippet,source,keywords,pub_date,byline,word_count,title
"Review: In ‘Rogers Park,’ Life and Love in a Chicago Neighborhood",https://www.nytimes.com/2018/04/26/movies/review-rogers-park.html,Two couples struggle to find serenity as middle age and its multiple discontents come breathing down their necks.,The New York Times,"['Movies', 'Rogers Park (Movie)', 'Henry, Kyle']",2018-04-26T11:00:10+0000,By Glenn Kenny,325,"Rogers Park,’ Life and Love in a Chicago Neighborhoo"
"Review: In ‘Love & Bananas,’ Uncovering the Plight of the Asian Elephant",https://www.nytimes.com/2018/04/26/movies/love-and-bananas-review-asian-elephants.html,"In this personal movie, the actress Ashley Bell embarks on an elephant rescue in Thailand that also reveals the threats to the animal’s survival.",The New York Times,"['Love & Bananas: An Elephant Story (Movie)', 'Bell, Ashley (1986- )', 'Elephants', 'Animal Abuse, Rights and Welfare', 'Documentary Films and Programs']",2018-04-26T11:00:01+0000,By Glenn Kenny,254,"Love & Bananas,’ Uncovering the Plight of the Asian Elephan"
"Review: If You Love Godard, You’ll Hate-Watch ‘Godard Mon Amour’",https://www.nytimes.com/2018/04/18/movies/godard-mon-amour-review.html,A portrait of a filmmaker in crisis that might have worked better as a comedy sketch.,The New York Times,"['Movies', 'Godard Mon Amour (Movie)', 'Hazanavicius, Michel', 'Godard, Jean-Luc', 'Wiazemsky, Anne', 'Garrel, Louis']",2018-04-18T23:02:46+0000,By A.O. Scott,937,Godard Mon Amour
"Review: In ‘Submergence,’ a Love Story Sunk by Geopolitics",https://www.nytimes.com/2018/04/12/movies/submergence-review-wim-wenders.html,"In Wim Wenders’s film, Alicia Vikander and James McAvoy are soul mates who find each other before a plotline involving Somali jihadists separates them.",The New York Times,"['Movies', 'Submergence (Movie)', 'Vikander, Alicia (1988- )', 'McAvoy, James', 'Wenders, Wim', 'Ledgard, J M', 'Dignam, Erin', 'Books and Literature']",2018-04-12T11:00:01+0000,By Glenn Kenny,591,"Submergence,’ a Love Story Sunk by Geopolitic"
"Review: In ‘Love After Love,’ an Unflinching Look at Extended Grief",https://www.nytimes.com/2018/03/29/movies/love-after-love-review.html,Russ Harbaugh’s debut feature delivers something rarely seen in American movies: a warts-and-all examination of extended grief.,The New York Times,"['Movies', 'Love After Love (Movie)', 'Harbaugh, Russ', 'MacDowell, Andie']",2018-03-29T11:00:01+0000,By Jeannette Catsoulis,280,"Love After Love,’ an Unflinching Look at Extended Grie"
Review: On Parole and in Love in ‘Outside In’,https://www.nytimes.com/2018/03/29/movies/outside-in-review-jay-duplass-edie-falco.html,Edie Falco and Jay Duplass connect romantically in this life-after-prison drama that prioritizes patience and pragmatism over passion.,The New York Times,"['Movies', 'Outside In (Movie)', 'Shelton, Lynn', 'Duplass, Jay', 'Falco, Edie', 'Dever, Kaitlyn']",2018-03-29T11:00:01+0000,By Jeannette Catsoulis,422,Outside In
"Review: In ‘Love, Simon,’ a Glossy Teen Romance, the Hero Has a Secret",https://www.nytimes.com/2018/03/15/movies/love-simon-review.html,"This comedy set in a particularly idyllic Atlanta suburb has a gay love story, a blackmailing weasel and surprising emotional resonance.",The New York Times,"['Movies', 'Love, Simon (Movie)', 'Berlanti, Greg', 'Robinson, Nick (1995- )']",2018-03-15T17:26:47+0000,By Glenn Kenny,272,"Love, Simon,’ a Glossy Teen Romance, the Hero Has a Secre"
"Review: In ‘Keep the Change,’ Two People With Autism Find Love",https://www.nytimes.com/2018/03/15/movies/keep-the-change-review.html,"A stubborn thirtysomething sentenced to spend time in an autism support group after an arrest finds romance, in this film starring actors with autism.",The New York Times,"['Movies', 'Keep the Change (Movie)', 'Israel, Rachel']",2018-03-15T16:10:25+0000,By Glenn Kenny,258,"Keep the Change,’ Two People With Autism Find Lov"
Review: A London Night Goes Wrong in ‘The Party’,https://www.nytimes.com/2018/02/15/movies/the-party-review-timothy-spall-kristin-scott-thomas.html,Sally Potter directs a very fine cast in a would-be comedy about a calamitously bad evening.,The New York Times,"['Movies', 'The Party (Movie)', 'Potter, Sally', 'Spall, Timothy', 'Scott Thomas, Kristin']",2018-02-15T12:00:25+0000,By Manohla Dargis,598,The Party
"Review: In ‘The Housemaid,’ Twisted Love and Angry Ghosts in Vietnam",https://www.nytimes.com/2018/02/15/movies/the-housemaid-review.html,"Set in 1953, when the country was under French colonial rule, the story takes place on a plantation that harbors shameful secrets — and an apparition.",The New York Times,"['Movies', 'Vietnam', 'Nguyen, Derek', 'The Housemaid (Movie)']",2018-02-15T12:00:02+0000,By Jeannette Catsoulis,273,"The Housemaid,’ Twisted Love and Angry Ghosts in Vietna"
"Review: In ‘Forever My Girl,’ a Romance Resumes After a Long Break",https://www.nytimes.com/2018/01/19/movies/forever-my-girl-review.html,There are few hard feelings in Bethany Ashton Wolf’s adaptation of a novel by Heidi McLaughlin.,The New York Times,"['Movies', 'Forever My Girl (Movie)', 'Wolf, Bethany Ashton']",2018-01-19T17:22:06+0000,By Glenn Kenny,273,"Forever My Girl,’ a Romance Resumes After a Long Brea"
Review: ‘Kangaroo: A Love-Hate Story’ Exposes a Wildlife Massacre,https://www.nytimes.com/2018/01/18/movies/kangaroo-a-love-hate-story-review.html,"The documentary looks at the mass killings of kangaroos for pet-food companies, leather processors and ranchers in Australia.",The New York Times,"['Kangaroo: A Love-Hate Story (Movie)', 'Kangaroos', 'Animal Abuse, Rights and Welfare', 'McIntyre Clere, Kate', 'McIntyre, Mick', 'Documentary Films and Programs', 'Australia']",2018-01-18T12:00:23+0000,By Ken Jaworowski,263,Kangaroo: A Love-Hate Story’ Exposes a Wildlife Massacr
Review: A Man and a Woman (and Another Woman) in ‘Lover for a Day’,https://www.nytimes.com/2018/01/11/movies/lover-for-a-day-review-philippe-garrel.html,"In Philippe Garrel’s drama, a 23-year-old woman moves in with her father and his 23-year-old girlfriend. Complications ensue.",The New York Times,"['Movies', 'Lover for a Day (Movie)', 'Garrel, Philippe']",2018-01-11T16:20:53+0000,By Manohla Dargis,863,Lover for a Day
"Review: In ‘Youth,’ the People’s Dance Troupe, in Love and War",https://www.nytimes.com/2017/12/14/movies/youth-review.html,This decades-spanning melodrama chronicles the rivalries and heartbreaks of a dance troupe in Mao’s China.,The New York Times,"['Movies', 'Feng Xiaogang', 'Youth (Movie)']",2017-12-14T12:00:26+0000,By Glenn Kenny,267,"Youth,’ the People’s Dance Troupe, in Love and Wa"
Review: ‘Killing for Love’ Revisits a Virginia Murder Case,https://www.nytimes.com/2017/12/14/movies/killing-for-love-review.html,"The true-crime documentary lays out a persuasive case for reasonable doubt in the case against Jens Soering, who was convicted, along with his girlfriend.",The New York Times,"['Killing for Love (Movie)', 'Soering, Jens', 'Haysom, Elizabeth', 'Vetter, Marcus (1967- )', 'Steinberger, Karin', 'Documentary Films and Programs', 'Murders, Attempted Murders and Homicides']",2017-12-14T12:00:26+0000,By Ben Kenigsberg,281,Killing for Love’ Revisits a Virginia Murder Cas
Review: ‘The Shape of Water’ Is Altogether Wonderful,https://www.nytimes.com/2017/11/30/movies/the-shape-of-water-review-guillermo-del-toro.html,"Guillermo del Toro’s latest film is an unlikely and lyrical love story, inspired by “Creature From the Black Lagoon.”",The New York Times,"['Movies', 'The Shape of Water (Movie)', 'Del Toro, Guillermo', 'Spencer, Octavia', 'Shannon, Michael', 'Hawkins, Sally', 'Jones, Doug (1960- )']",2017-11-30T16:10:56+0000,By A.O. Scott,924,The Shape of Water’ Is Altogether Wonderfu
"Review: In ‘Love Beats Rhymes,’ a Hip-Hop Artist Transformed by Poetry",https://www.nytimes.com/2017/11/30/movies/love-beats-rhymes-azealia-banks-rza.html,"The rap luminary RZA and the hip-hop musician Azealia Banks team up for a story of rap and poetry, “Love Beats Rhymes.”",The New York Times,"['Movies', 'Rap and Hip-Hop', 'RZA', 'Banks, Azealia', 'Love Beats Rhymes (Movie)']",2017-11-30T12:00:05+0000,By Glenn Kenny,319,"Love Beats Rhymes,’ a Hip-Hop Artist Transformed by Poetr"
Review: ‘Cuba and the Cameraman’ Lavishes Love on a Country … and Castro,https://www.nytimes.com/2017/11/23/movies/cuba-and-the-cameraman-review.html,The filmmaker Jon Alpert has been visiting and documenting Cuba for 45 years. His new movie looks back fondly at its people and its leader.,The New York Times,"['Documentary Films and Programs', 'Cuba', 'Cuba and the Cameraman (Movie)', 'Alpert, Jon']",2017-11-23T12:00:20+0000,By Glenn Kenny,427,Cuba and the Cameraman’ Lavishes Love on a Country … and Castr
Review: ‘On the Beach at Night Alone’ Zooms in on a Love Affair,https://www.nytimes.com/2017/11/16/movies/on-the-beach-at-night-alone-review-hong-sang-soo.html,Kim Min-hee stars in a new film from the prolific South Korean director Hong Sang-soo. The movie has been seen as based partly on their affair.,The New York Times,"['Movies', 'On the Beach at Night Alone (Movie)', 'Hong Sang-soo', 'Kim Min-hee']",2017-11-16T12:00:20+0000,By A.O. Scott,520,On the Beach at Night Alone’ Zooms in on a Love Affai
"Review: In ‘Thelma,’ a Woman in Love Can Burn Down the World",https://www.nytimes.com/2017/11/09/movies/review-in-thelma-a-woman-in-love-can-burn-down-the-world.html,"In Joachim Trier’s sly psychological thriller “Thelma,” a child-woman finds love and discovers that behaving like a good girl can be a very bad idea.",The New York Times,"['Movies', 'Thelma (Movie)', 'Trier, Joachim']",2017-11-09T20:08:31+0000,By Manohla Dargis,757,"Thelma,’ a Woman in Love Can Burn Down the Worl"
"Review: ‘Hello Again,’ a Movie Musical Ode to Love and Lust Over Decades",https://www.nytimes.com/2017/11/07/movies/hello-again-review.html,"This film from Tom Gustafson, based on a 1993 Off Broadway show, has a formidable cast of Broadway names but wants for dramatic traction.",The New York Times,"['Movies', 'Hello Again (Movie)', 'Gustafson, Tom', 'Jackson, Cheyenne', 'McDonald, Audra', 'Willis, Rumer (1988- )', 'LaChiusa, Michael John']",2017-11-07T19:13:29+0000,By Andy Webster,321,"Hello Again,’ a Movie Musical Ode to Love and Lust Over Decade"
"Review: ‘It Happened in L.A.,’ All That Questing After Love",https://www.nytimes.com/2017/11/02/movies/it-happened-in-la-review.html,"This ensemble comedy from Michelle Morgan concerns one woman who exits a relationship, and another who seeks one. Their city only complicates matters.",The New York Times,"['Movies', 'It Happened in L.A. (Movie)', 'Morgan, Michelle (Filmmaker)', 'Hemingway, Dree (1987- )']",2017-11-02T11:00:03+0000,By Andy Webster,263,"It Happened in L.A.,’ All That Questing After Lov"
"Review: Love Is Wild, if Not Pretty, in ‘God’s Own Country’",https://www.nytimes.com/2017/10/24/movies/gods-own-country-review.html,"This feature debut of the writer and director Francis Lee is a bracing, sometimes brutal movie.",The New York Times,"['Movies', ""God's Own Country (Movie)"", 'Lee, Francis (1969- )', ""O'Connor, Josh (Actor)"", 'Secareanu, Alec']",2017-10-24T11:00:24+0000,By Jeannette Catsoulis,295,God’s Own Country
Review: Love in a Cold Climate in ‘The Mountain Between Us’,https://www.nytimes.com/2017/10/05/movies/the-mountain-between-us-review-kate-winslet-idris-elba.html,Idris Elba and Kate Winslet crash into a mountain — and each other — in this drama.,The New York Times,"['Movies', 'The Mountain Between Us (Movie)', 'Abu-Assad, Hany', 'Elba, Idris', 'Winslet, Kate']",2017-10-05T11:00:05+0000,By Jeannette Catsoulis,272,The Mountain Between Us
"Review: In the Documentary ‘Dina,’ a Differently Abled Love Story",https://www.nytimes.com/2017/10/05/movies/dina-review.html,"An intimate, affecting film about a couple with autism, as they plan their wedding.",The New York Times,"['Dina (Movie)', 'Documentary Films and Programs', 'Sickles, Dan (Film Director)', 'Santini, Antonio (Film Director)', 'Autism', 'Dating and Relationships']",2017-10-05T11:00:05+0000,By Glenn Kenny,290,"Dina,’ a Differently Abled Love Stor"
Review: Love of Il Maestro Drives ‘In Search of Fellini’,https://www.nytimes.com/2017/09/14/movies/in-search-of-fellini-review.html,A sheltered young woman enamored of the films of the famous director sets off to Italy to meet him.,The New York Times,"['Movies', 'In Search of Fellini (Movie)', 'Cartwright, Nancy', 'Solo, Ksenia', 'Lexton, Taron']",2017-09-14T11:00:24+0000,By Monica Castillo,272,In Search of Fellini
"Review: ‘Woodpeckers,’ a Tale of Love and Agonizing Penal Confinement",https://www.nytimes.com/2017/09/14/movies/woodpeckers-review.html,José María Cabral’s drama concerns a male and female convict in adjacent penitentiaries who use a sign language — “woodpecking” — in order to connect.,The New York Times,"['Movies', 'Woodpeckers (Movie)', 'Cabral, Jose Maria', 'Jean, Jean (Actor)', 'Rodriguez, Judith (1985- )']",2017-09-14T10:00:14+0000,By Andy Webster,242,"Woodpeckers,’ a Tale of Love and Agonizing Penal Confinemen"
"Review: In ‘I Do ... Until I Don’t,’ Love and Loathing in Florida",https://www.nytimes.com/2017/08/31/movies/i-do-until-i-dont-review.html,Three married couples outwit a documentary filmmaker in Lake Bell’s sex comedy.,The New York Times,"['Movies', 'Bell, Lake', 'Reiser, Paul', ""I Do... Until I Don't (Movie)""]",2017-08-31T13:00:02+0000,By Jeannette Catsoulis,258,"I Do ... Until I Don’t,’ Love and Loathing in Florid"
Review: ‘Tales of an Immoral Couple’: Love Means Having to Grow Up,https://www.nytimes.com/2017/08/24/movies/tales-of-an-immoral-couple-review.html,"Twenty-five years after they split, two former high school sweethearts reluctantly reunite for an awkward night.",The New York Times,"['Movies', 'Tales of an Immoral Couple (Movie)', 'Caro, Manolo']",2017-08-24T16:22:43+0000,By Monica Castillo,284,Tales of an Immoral Couple’: Love Means Having to Grow U
Review: Staying Together ‘After Love’ and Regretting Every Moment,https://www.nytimes.com/2017/08/08/movies/after-love-review.html,"A couple break up, but remain together, frustratingly, because of the husband’s financial woes.",The New York Times,"['Movies', 'After Love (Movie)', 'Lafosse, Joachim', 'Bejo, Berenice', 'Kahn, Cedric']",2017-08-08T19:17:54+0000,By Glenn Kenny,274,After Love’ and Regretting Every Momen
Review: Aid Workers in Love and War in Sean Penn’s ‘The Last Face’,https://www.nytimes.com/2017/07/27/movies/the-last-face-review-charlize-theron-sean-penn.html,"In war-torn Liberia, Charlize Theron and Javier Bardem face a big problem: how to keep their knotty relationship from fizzling.",The New York Times,"['Movies', 'The Last Face (Movie)', 'Penn, Sean', 'Bardem, Javier', 'Theron, Charlize']",2017-07-27T20:29:01+0000,By Glenn Kenny,280,The Last Face
"Review: She Hosts ‘Women Who Kill,’ and May Be in Love With One",https://www.nytimes.com/2017/07/25/movies/women-who-kill-review.html,"In Ingrid Jungermann’s droll comedy, ex-lovers who produce a podcast about serial killers find themselves at odds when a new romantic interest emerges.",The New York Times,"['Movies', 'Women Who Kill (Movie)', 'Jungermann, Ingrid (1977- )']",2017-07-25T21:38:36+0000,By Ken Jaworowski,411,"Women Who Kill,’ and May Be in Love With On"
"Review: With ‘False Confessions,’ the Play’s Not Quite the Thing",https://www.nytimes.com/2017/07/13/movies/false-confessions-review-isabelle-huppert.html,Isabelle Huppert and Louis Garrel star in a screen version of an 18th-century Marivaux play and the last film directed by Luc Bondy.,The New York Times,"['Movies', 'False Confessions (Movie)', 'Bondy, Luc', 'Huppert, Isabelle', 'Garrel, Louis']",2017-07-13T19:49:06+0000,By Manohla Dargis,527,"False Confessions,’ the Play’s Not Quite the Thin"
"Review: Those Movies, Himself — Bertrand Tavernier’s Tour of French Cinema",https://www.nytimes.com/2017/06/22/movies/my-journey-through-french-cinema-review-bertrand-tavernier.html,"In “My Journey Through French Cinema,” Mr. Tavernier’s documentary about movies doubles as an autobiography.",The New York Times,"['Documentary Films and Programs', 'Tavernier, Bertrand', 'My Journey Through French Cinema (Movie)', 'France']",2017-06-22T21:14:56+0000,By Manohla Dargis,773,"Review: Those Movies, Himself — Bertrand Tavernier’s Tour of French Cinem"
"Review: In ‘The Big Sick,’ Comedy Is Hard, Love Harder",https://www.nytimes.com/2017/06/22/movies/the-big-sick-review-kumail-nanjiani.html,"Kumail Nanjiani stars opposite Zoe Kazan in this very funny, moving true story about how he found and almost lost love. Holly Hunter and Ray Romano also star.",The New York Times,"['Movies', 'The Big Sick (Movie)', 'Nanjiani, Kumail', 'Gordon, Emily V', 'Kazan, Zoe', 'Showalter, Michael']",2017-06-22T09:00:31+0000,By Manohla Dargis,1073,"The Big Sick,’ Comedy Is Hard, Love Harde"
Review: Finding Love (and Slapstick) While ‘Lost in Paris’,https://www.nytimes.com/2017/06/15/movies/lost-in-paris-review.html,"The filmmakers Fiona Gordon and Dominique Abel star in their fourth movie, a tale infused with physical comedy about a woman in search of her aunt.",The New York Times,"['Lost in Paris (Movie)', 'Movies', 'Abel, Dominique', 'Gordon, Fiona', 'Riva, Emmanuelle']",2017-06-15T19:37:09+0000,By Ben Kenigsberg,254,Lost in Paris
"Review: In ‘Vincent N Roxxy,’ Love Is in the Air, N So Is Fear",https://www.nytimes.com/2017/06/01/movies/vincent-n-roxxy-review.html,"This combination crime drama and romance finds Emile Hirsch and Zoë Kravitz circling each other, and trying to stay away from bad guys.",The New York Times,"['Movies', 'Vincent N Roxxy (Movie)', 'Kravitz, Zoe', 'Schultz, Gary Michael', 'Hirsch, Emile']",2017-06-01T19:52:51+0000,By Ken Jaworowski,287,"Vincent N Roxxy,’ Love Is in the Air, N So Is Fea"
"Review: ‘Everything, Everything’ Pits Love Against Disease",https://www.nytimes.com/2017/05/18/movies/everything-everything-review.html,"Amandla Stenberg plays a teenager with an immune system disorder who falls for the boy next door, and risks everything.",The New York Times,"['Movies', 'Everything, Everything (Movie)', 'Meghie, Stella', 'Stenberg, Amandla (1998- )', 'Robinson, Nick (1995- )']",2017-05-18T21:02:53+0000,By Neil Genzlinger,270,"Everything, Everything’ Pits Love Against Diseas"
Review: ‘Hounds of Love’ Is Tense and Deadly Down Under,https://www.nytimes.com/2017/05/11/movies/hounds-of-love-review.html,This feature debut of the Australian filmmaker Ben Young resembles a real-life couple’s killing spree in the 1980s.,The New York Times,"['Movies', 'Hounds of Love (Movie)', 'Young, Ben (Film Director)']",2017-05-11T20:16:51+0000,By Ben Kenigsberg,280,Hounds of Love’ Is Tense and Deadly Down Unde
Review: ‘Harold and Lillian’ Introduces a Hollywood Power Couple,https://www.nytimes.com/2017/04/27/movies/harold-and-lillian-review.html,"Meet the husband-and-wife team that inspired some of the most memorable moments onscreen, from “The Graduate” to “The Birds.”",The New York Times,"['Harold and Lillian: A Hollywood Love Story (Movie)', 'Raim, Daniel', 'Michelson, Harold', 'Michelson, Lillian', 'Documentary Films and Programs', 'Movies']",2017-04-27T20:29:44+0000,By Monica Castillo,263,Harold and Lillian’ Introduces a Hollywood Power Coupl
"Review: In ‘The Happiest Day in the Life of Olli Maki,’ Love and Life on the Ropes",https://www.nytimes.com/2017/04/20/movies/the-happiest-day-in-the-life-of-olli-maki-review.html,"Inspired by a true story, “The Happiest Day in the Life of Olli Maki” is a charmer about a boxer trying to win a championship and find his bliss.",The New York Times,"['Movies', 'The Happiest Day in the Life of Olli Maki (Movie)', 'Kuosmanen, Juho', 'Lahti, Jarkko']",2017-04-20T20:45:54+0000,By Manohla Dargis,824,"The Happiest Day in the Life of Olli Maki,’ Love and Life on the Rope"
Review: ‘The Promise’ Finds a Love Triangle in Constantinople,https://www.nytimes.com/2017/04/20/movies/the-promise-review-oscar-isaac.html,"Oscar Isaac, Christian Bale and Charlotte Le Bon star in this wartime romance with a heavy subject (genocide) but a corny plot.",The New York Times,"['Movies', 'The Promise (Movie)', 'George, Terry', 'Bale, Christian', 'Isaac, Oscar', 'Le Bon, Charlotte']",2017-04-20T16:49:46+0000,By Jeannette Catsoulis,455,The Promise’ Finds a Love Triangle in Constantinopl
"Review: ‘Frantz,’ a Mysterious Frenchman and the Wounds of War",https://www.nytimes.com/2017/03/14/movies/frantz-review.html,"François Ozon’s adaptation of Ernst Lubitsch’s 1932 antiwar film, “Broken Lullaby,” is set in Germany and France in the aftermath of World War I.",The New York Times,"['Frantz (Movie)', 'Niney, Pierre', 'Movies', 'Lubitsch, Ernst', 'Ozon, Francois']",2017-03-14T21:14:24+0000,By Stephen Holden,708,"Frantz,’ a Mysterious Frenchman and the Wounds of Wa"
Review: A Combustible Pair Find Love in ‘The Other Half’,https://www.nytimes.com/2017/03/09/movies/the-other-half-review-tatiana-maslany.html,This moody romance stars Tatiana Maslany (“Orphan Black”) as a bipolar painter in love with a brooding cabby (Tom Cullen of “Downton Abbey”).,The New York Times,"['Movies', 'The Other Half (Movie)', 'Maslany, Tatiana', 'Cullen, Tom (1985- )', 'Klein, Joey (Film Director)']",2017-03-09T21:54:58+0000,By Andy Webster,251,The Other Half
"Review: Love as the World Wars, in ‘The Ottoman Lieutenant’",https://www.nytimes.com/2017/03/09/movies/review-the-ottoman-lieutenant.html,A nurse travels to the Ottoman Empire on the eve of World War I. Can romance blossom amid earthshaking events?,The New York Times,"['Movies', 'The Ottoman Lieutenant (Movie)', 'Ruben, Joseph', 'Hartnett, Josh', 'Stockwell, Jeff (1958- )', 'Hilmar, Hera', 'Huisman, Michiel']",2017-03-09T21:53:12+0000,By Neil Genzlinger,267,The Ottoman Lieutenant
Review: It’s All Mirth and Taxes in ‘Love & Taxes’,https://www.nytimes.com/2017/03/02/movies/love-taxes-review.html,Josh Kornbluth runs afoul of the Internal Revenue Service after failing to file tax returns for seven years.,The New York Times,"['Love & Taxes (Movie)', 'Kornbluth, Jacob', 'Movies', 'Kornbluth, Josh']",2017-03-02T21:44:18+0000,By Ken Jaworowski,246,Love & Taxes
"Review: ‘Everybody Loves Somebody,’ a Rom-Com With Bite",https://www.nytimes.com/2017/02/16/movies/everybody-loves-somebody-review.html,"A messed-up heroine is asked to choose between naughty and nice in Catalina Aguilar Mastretta’s sophomore feature, which is predictable but satisfying.",The New York Times,"['Movies', 'Everybody Loves Somebody (Movie)', 'Aguilar Mastretta, Catalina', 'Souza, Karla (1985- )']",2017-02-16T21:45:50+0000,By Jeannette Catsoulis,256,"Everybody Loves Somebody,’ a Rom-Com With Bit"
"Review: Cute Cats of ‘Kedi,’ Rekindling a ‘Love of Life’",https://www.nytimes.com/2017/02/09/movies/kedi-review.html,This documentary profiles distinctive street cats in Istanbul and the human communities that interact with them.,The New York Times,"['Kedi (Movie)', 'Documentary Films and Programs', 'Cats', 'Istanbul (Turkey)', 'Torun, Ceyda']",2017-02-09T16:21:39+0000,By Glenn Kenny,274,"Kedi,’ Rekindling a ‘Love of Life"
